target,sentence,hint
active,She leads a very active lifestyle with lots of exercise.,Engaged in physically energetic pursuits
advice,Can you give me some advice on which laptop to buy?,Guidance or recommendations offered with regard to future action
agree,I agree with your opinion on this matter.,To have the same opinion about something
amount,A large amount of money was spent on the project.,A quantity of something
answer,Please answer the phone when it rings.,A thing said or written in reaction to a question
arrive,The train will arrive at the station at noon.,To reach a place at the end of a journey
believe,I believe that everything happens for a reason.,To accept that something is true or real
benefit,The new law will benefit many small businesses.,An advantage or profit gained from something
borrow,Can I borrow your pen for a second?,To take and use something with the intention of returning it
camera,She took a beautiful picture with her new camera.,A device for recording visual images
certain,Are you certain about the time of the meeting?,Known for sure; established beyond doubt
choice,You have a choice between coffee and tea.,An act of selecting or making a decision
compare,It is difficult to compare the two products.,To estimate or measure the similarity or dissimilarity
correct,Is this the correct way to solve the problem?,Free from error; in accordance with fact or truth
danger,The sign warns people about the danger ahead.,The possibility of suffering harm or injury
decide,I need time to decide which job offer to accept.,To come to a resolution in the mind as a result of thought
degree,She has a degree in computer science from Harvard.,An academic rank conferred by a college or university
depend,Our success will depend on your hard work.,To be controlled or determined by
effort,He put a lot of effort into finishing the report.,A vigorous or determined attempt
energy,Kids always have so much energy and enthusiasm.,The strength and vitality required for sustained activity
expect,I expect that the weather will be nice tomorrow.,To regard something as likely to happen
famous,He is a famous actor who has won many awards.,Known about by many people
future,The future depends on what you do today.,The time or a period of time following the moment of speaking
gentle,He has a very gentle and kind personality.,Mild in temperament or behavior; kind or tender
happen,Did anything interesting happen at work today?,To take place; occur
health,Eating vegetables is good for your health.,The state of being free from illness or injury
island,They spent their vacation on a tropical island.,A piece of land surrounded by water
journey,The journey to the mountain took three days.,An act of traveling from one place to another
kitchen,The smell of fresh bread filled the kitchen.,A room or area where food is prepared and cooked
lesson,The teacher gave a lesson on European history.,A period of learning or teaching
market,The local market sells fresh fruits and vegetables.,A regular gathering of people for the purchase and sale of food
memory,She has a very good memory for faces and names.,The faculty by which the mind stores and remembers information
modern,The city has many modern buildings and skyscrapers.,Relating to the present or recent times
nature,We spent the weekend enjoying the beauty of nature.,The basic or inherent features of something
notice,Did you notice any change in his behavior?,To become aware of something
object,The box was filled with various small objects.,A material thing that can be seen and touched
office,He works in a large office in the city center.,A room or department where professional duties are carried out
parent,Every parent wants the best for their children.,A father or mother of a child
perfect,The weather was perfect for a picnic in the park.,Having all the required or desirable elements; as good as it can be
public,The museum is open to the general public.,Relating to or concerning the people as a whole
reason,Is there a reason for your sudden change of mind?,A cause; explanation; or justification for an action
reduce,The company aims to reduce its waste production.,To make smaller or less in amount; degree; or size
season,Spring is my favorite season of the year.,Each of the four divisions of the year
simple,The instructions were very simple and easy to follow.,Easily understood or done; presenting no difficulty
system,The security system was updated last week.,A set of things working together as parts of a mechanism
travel,She loves to travel and see new places.,To make a journey; typically of some length
useful,The internet is a very useful tool for research.,Able to be used for a practical purpose or in several ways
vacation,They are planning a vacation to Europe this summer.,An extended period of recreation; especially one spent away from home
village,He grew up in a small village near the sea.,A group of houses and associated buildings in a rural area
weather,The weather was cold and rainy yesterday.,The state of the atmosphere at a place and time
